id,event_id,user_id,position,division,status,created_at,updated_at
484a1090-f968-4bad-83d7-89cbe7418272,event-98,user-39,Wakil Ketua,Perlengkapan,Declined,2026-05-08T16:31:15.900923,2026-03-06T03:56:30.399090
147a85cb-826b-4b1a-8e1d-743248298b82,event-56,user-40,Wakil Ketua,Acara,Declined,2026-06-14T12:11:29.067573,2026-04-02T23:16:29.272526
7a9146af-7e7e-4790-b991-8a7f96db0962,event-33,user-23,Koordinator,Dokumentasi,Accepted,2026-01-25T18:49:01.847957,2026-03-10T22:55:44.658639
0a347a27-09c2-4f50-94af-21534714f771,event-45,user-41,Bendahara,Keamanan,Accepted,2026-06-17T17:46:17.215290,2025-08-10T22:52:34.950346
abf3054b-3b03-4e2d-b51c-4b77204cf4c4,event-6,user-46,Sekretaris,Keamanan,Declined,2026-07-29T04:37:51.668042,2025-11-12T12:07:17.221392
36764b3a-a1b8-4d22-9c10-aff890933d50,event-88,user-83,Wakil Ketua,Keamanan,Pending,2025-08-17T07:25:02.069436,2026-05-11T04:12:42.642678
ebe87605-6171-45fc-9798-311ed8858594,event-63,user-88,Ketua,Humas,Pending,2026-02-24T02:43:08.653064,2026-04-12T16:44:59.093746
5a6b19dc-769c-495c-b8bf-24ec30d09d1b,event-96,user-77,Anggota,Transportasi,Declined,2025-09-24T20:36:17.547446,2026-01-08T23:27:49.315213
900db7cc-f4af-4ea9-aa3c-792a0f99cc0c,event-15,user-57,Staff,Acara,Pending,2026-02-07T10:03:33.997092,2026-03-20T05:47:40.321985
f91bfb60-3ece-47f6-aa79-1fa44cb672c3,event-79,user-85,Anggota,Humas,Accepted,2026-06-17T01:28:42.262553,2026-01-27T12:51:22.361945
4ba2ab30-38b0-42f6-8001-5d2fbd96fb5d,event-113,user-76,Koordinator,Keamanan,Pending,2026-08-09T02:17:29.922862,2026-01-27T06:05:59.390097
b543f6b6-0604-47a7-8666-85491532da75,event-122,user-69,Sekretaris,Transportasi,Accepted,2025-08-29T17:05:51.781294,2026-08-02T21:50:47.889132
35c8380a-d9b2-4241-9411-aca2c8273347,event-116,user-30,Anggota,Acara,Accepted,2025-10-01T12:27:57.947602,2025-10-31T01:53:38.508185
10efbc21-584a-4629-a1f2-1fda3574127f,event-74,user-68,Bendahara,Keamanan,Declined,2025-10-08T14:00:23.807865,2025-12-20T21:48:22.077586
48d091fd-08f7-449d-b8d0-92800815a0f1,event-120,user-55,Staff,Acara,Accepted,2026-05-23T06:09:40.720727,2025-11-21T18:56:13.459477
be5e3396-b441-4374-949b-55dd9f42145d,event-142,user-66,Wakil Ketua,Keamanan,Declined,2025-12-24T16:59:53.929787,2026-01-10T10:19:44.764191
5753ab93-d625-4fd7-976c-f8abfa7119df,event-10,user-37,Koordinator,Keamanan,Declined,2026-03-16T05:20:51.973009,2026-05-23T08:48:43.863643
b1574201-3a96-40dd-b936-02c1bcd15ed1,event-108,user-76,Sekretaris,Humas,Accepted,2025-11-07T20:36:46.561174,2025-12-03T23:56:29.189239
ed68685d-304b-4162-a69d-b19d23dedc56,event-38,user-87,Koordinator,Humas,Declined,2025-11-01T02:29:25.429631,2026-02-06T08:01:04.429335
92ffb49e-705a-4a98-a5c7-5ff650a7f3c5,event-47,user-52,Bendahara,Acara,Declined,2025-12-08T14:51:42.735473,2026-05-02T18:08:41.779317
e8d0362d-dd90-4e5c-8205-b5760bdde03e,event-117,user-23,Ketua,Konsumsi,Pending,2026-04-22T18:54:27.487356,2026-05-14T23:03:31.430154
a95f595e-52cc-48ee-bb6f-83a3ffddd4cd,event-65,user-51,Koordinator,Humas,Declined,2025-09-30T13:47:47.978335,2025-09-14T20:48:43.352229
61e0ec68-a55b-40b7-b7b7-d59974c9105c,event-40,user-86,Wakil Ketua,Dokumentasi,Declined,2025-09-13T04:20:13.658442,2026-03-09T16:02:08.580808
b7983a00-20f6-46c3-8e65-485febf341d0,event-91,user-25,Koordinator,Perlengkapan,Accepted,2025-10-18T09:16:19.562729,2026-07-17T04:40:48.926062
