id,lembagaId,user_id,position,division,status,created_at,updated_at
344ce5e0-43e0-4a66-a088-647afc9e495d,lembaga-12,user-36,Ketua,Akademik,Accepted,2025-11-22T17:00:06.735174,2026-07-30T05:03:43.041266
1de4c579-806e-415b-aa14-79de2b6a2b54,lembaga-12,user-62,Koordinator,Pengembangan Diri,Declined,2026-03-31T09:35:10.631320,2025-12-26T13:55:23.659063
f3b288c0-76aa-462a-9a4f-90d38a8f8a08,lembaga-16,user-58,Bendahara,Internal,Accepted,2025-10-26T11:09:22.117893,2026-04-18T23:00:14.245029
c4d48b25-ab52-454a-9bc9-5ff10265afe0,lembaga-5,user-29,Bendahara,Internal,Pending,2026-02-08T20:32:24.066752,2025-11-09T15:57:09.247846
ec9438de-0370-48c1-a104-df41a60f82a9,lembaga-16,user-69,Anggota,Akademik,Pending,2025-10-30T13:59:55.933056,2026-01-04T14:34:44.960245
503edc5b-3a7e-425e-969c-480024b77d48,lembaga-5,user-37,Ketua,Akademik,Declined,2025-08-22T02:55:46.836418,2026-07-13T21:32:18.666835
4c4290da-1f8a-4e5c-a2b6-eba727f03830,lembaga-14,user-81,Anggota,Minat Bakat,Accepted,2026-04-21T12:35:11.678226,2026-02-08T00:30:29.065284
68f0f044-db53-401e-8aa7-8356ecbf9e94,lembaga-9,user-60,Ketua,Minat Bakat,Pending,2026-04-30T15:35:34.419344,2026-03-29T17:45:51.458041
ea8e2c48-412b-48e9-8792-ebfcb3700537,lembaga-1,user-63,Sekretaris,Humas,Accepted,2026-06-30T14:51:41.424690,2026-04-12T13:02:45.746749
c533927d-d31c-4da1-a2a7-ca70a4af5044,lembaga-3,user-46,Sekretaris,Internal,Pending,2026-04-13T10:22:32.482584,2026-01-27T03:57:19.147328
28c7c894-4cdd-4c31-98eb-762f994f1ff4,lembaga-14,user-34,Bendahara,Akademik,Declined,2025-08-23T10:25:05.654399,2025-11-13T04:08:14.512441
57198e9a-4948-4678-95bc-be8b5cafded3,lembaga-9,user-91,Koordinator,Pengembangan Diri,Pending,2025-12-06T09:04:08.984776,2026-05-25T22:27:16.382751
13d046a0-af52-4431-bac0-59794aab1fa3,lembaga-1,user-38,Ketua,Pengembangan Diri,Accepted,2026-01-07T05:58:43.631698,2026-06-09T16:03:25.622584
f8032fa8-67fe-4b2e-ac79-ea303104bdeb,lembaga-20,user-99,Wakil Ketua,Akademik,Pending,2026-02-02T15:22:08.290448,2025-10-25T20:09:21.135245
9472437d-b387-4929-8dc4-fbb68c54ca11,lembaga-5,user-98,Ketua,Akademik,Declined,2025-12-24T00:41:26.018757,2026-04-01T08:01:30.829466
9430d0c3-252a-490d-93c4-c6c9043d5522,lembaga-17,user-90,Bendahara,Internal,Accepted,2026-06-23T20:57:52.098787,2025-11-15T07:24:40.891684
0ecc1250-f7e3-45f0-998e-dfdd05dd683e,lembaga-2,user-87,Wakil Ketua,Minat Bakat,Accepted,2026-04-04T18:50:42.046108,2025-08-18T18:07:53.046689
53e4c4e8-5609-4b11-8678-83ffee812876,lembaga-13,user-61,Bendahara,Pengembangan Diri,Declined,2026-07-20T18:59:20.645425,2025-11-17T05:33:38.719836
835850ac-cc5a-4c26-9dc8-903a2fd14be2,lembaga-12,user-87,Wakil Ketua,Pengembangan Diri,Declined,2026-08-07T12:49:17.301359,2026-04-23T15:15:33.228483
28cfd1db-8d03-408b-b76d-4c71abb9ed5a,lembaga-5,user-23,Koordinator,Internal,Declined,2025-08-29T05:42:55.320330,2026-06-13T04:19:11.967249
369f8949-6223-4d1d-a673-a9c926bb9ab8,lembaga-19,user-25,Sekretaris,Humas,Accepted,2026-01-24T15:29:10.612332,2025-10-15T08:23:39.876261
5abbc1d4-2e18-407c-a9ca-cbc227aa55b7,lembaga-5,user-64,Ketua,Internal,Declined,2026-03-06T07:27:20.546342,2026-05-05T10:06:21.280363
2f9cc121-da53-49ee-91e0-1298f26c28fa,lembaga-7,user-64,Ketua,Akademik,Declined,2025-09-06T00:47:12.024434,2026-01-30T02:08:39.501019
921b2407-a606-4a8b-9d6d-f55597392e67,lembaga-7,user-49,Ketua,Minat Bakat,Pending,2025-11-05T15:55:11.796356,2025-12-21T17:41:11.269778
e5b039dc-094b-421a-a78a-583201e2143a,lembaga-20,user-32,Bendahara,Humas,Pending,2025-08-16T15:29:47.640537,2025-09-07T05:33:13.743458
31c72aaa-cca9-4e7b-9cfa-6a3cff99918a,lembaga-1,user-31,Ketua,Humas,Accepted,2025-11-29T06:52:21.622862,2026-05-23T02:45:41.928938
45a49ecc-d0b5-457e-9b50-3d113834ffee,lembaga-17,user-85,Wakil Ketua,Internal,Accepted,2026-05-31T22:00:08.941428,2025-08-22T21:14:50.433744
0dfd9b6b-e96e-4b5f-a792-be121113972d,lembaga-11,user-45,Ketua,Minat Bakat,Declined,2025-10-17T07:54:23.843050,2026-04-18T03:33:22.100536
30df9912-1884-496d-b45f-79f6ab0fbd26,lembaga-15,user-37,Bendahara,Pengembangan Diri,Accepted,2026-05-29T20:20:44.271479,2025-10-06T19:32:28.041232
c2875f8d-19e6-473b-83e8-cbc5d46d04c6,lembaga-12,user-33,Sekretaris,Humas,Accepted,2026-02-16T16:23:45.565847,2026-07-06T08:54:10.044537
