id,eventId,mahasiswaId,division,startDate,endDate
ede1556c-5f0f-4cbb-a882-c8e46639d8e8,event-57,user-53,Perlengkapan,2027-01-27T12:57:21.579037,2027-02-02T15:40:36.357666
8a2de3d0-99f4-4da1-b196-a15b0c222012,event-123,user-79,Dokumentasi,2027-06-26T13:44:32.030373,2027-06-29T00:17:57.209089
0a6394b6-7947-4b90-b180-8f8a118b5da7,event-20,user-86,Konsumsi,2027-04-26T10:07:33.487084,2027-04-27T00:50:54.178754
d65b3f0b-4b27-4634-988b-251f611a5217,event-127,user-29,Keamanan,2027-05-21T12:57:01.948893,2027-05-30T07:04:43.473958
45c22cd5-ce27-4e5e-b93c-a9785d16bccf,event-25,user-44,Dokumentasi,2026-09-09T13:25:18.136912,2026-09-10T20:39:07.297433
6dab2c41-a4ea-493e-8826-658514f11885,event-46,user-39,Acara,2027-03-23T20:12:29.020296,2027-03-25T08:05:02.131236
2b0f5ea1-4eb7-4365-958f-c26c96f27753,event-95,user-52,Keamanan,2027-06-12T14:13:01.835558,2027-06-17T06:10:08.706273
ff51464c-8342-47d9-b725-5a30c817f552,event-57,user-86,Transportasi,2027-01-25T17:28:14.293036,2027-02-12T02:46:40.642639
812fbf1c-5719-433d-a069-bc7c29844500,event-62,user-100,Humas,2027-03-17T11:58:57.619762,2027-03-20T19:40:09.653479
53400e10-a96a-4366-82df-3ff426ac1570,event-142,user-97,Keamanan,2027-02-19T14:55:35.079443,2027-02-23T05:42:56.038654
0383edd2-4baa-45d6-a5c2-d824af0a4bac,event-122,user-82,Konsumsi,2027-06-06T20:41:44.405851,2027-06-10T17:44:14.544628
8a0c00ab-9d7b-43f2-a2e5-5c7b1a521f0b,event-115,user-63,Transportasi,2027-02-06T20:23:03.282855,2027-02-09T16:08:46.482539
96ceb72a-3f34-4c96-844a-765ceeb760b6,event-55,user-83,Perlengkapan,2026-10-29T01:20:42.847478,2026-11-18T19:45:12.751539
8013b230-82f8-4abe-908e-73b527793a98,event-26,user-50,Konsumsi,2027-06-24T00:00:16.329024,2027-07-02T15:06:21.131109
214440a8-d544-47bc-ad04-6a7e9c0b35d7,event-104,user-32,Dokumentasi,2027-01-30T14:30:58.079587,2027-02-07T02:47:38.210200
b9529c78-320e-428b-bcfd-d6eb15eb460c,event-45,user-71,Transportasi,2027-05-10T15:12:11.658717,2027-05-27T00:46:54.777009
1d4e5e99-fcbf-4a35-9d09-5b7ed9ec38ba,event-14,user-66,Keamanan,2027-06-01T20:04:58.050339,2027-06-04T10:48:01.904875
8aa073fd-4111-4738-86d9-ea9af6d9b983,event-79,user-99,Acara,2027-05-28T08:52:03.895048,2027-06-03T00:36:13.146921
