id,lembagaId,mahasiswaId,division,startDate,endDate
3dba3b39-d3e3-48df-9ff1-b67bda680c05,lembaga-1,user-32,Pengembangan Diri,2026-01-01T05:59:56.399625,2026-03-21T02:47:14.292583
ee357e65-dcf5-4cbf-8b5d-7aa3e2fb70a3,lembaga-3,user-94,Minat Bakat,2025-08-25T20:30:48.928135,2025-10-01T13:33:16.758103
84a7c32a-0150-4f45-a4e2-324af299f6fc,lembaga-17,user-97,Minat Bakat,2026-03-13T22:43:23.572789,2026-07-16T16:05:39.959565
04145b84-ea53-4d54-8bc9-6680b75e4943,lembaga-15,user-97,Internal,2025-10-17T14:53:42.254887,2026-01-27T04:54:49.770000
5ddc265f-4738-46b6-8c81-3f0f70883776,lembaga-20,user-58,Minat Bakat,2026-01-01T08:34:12.656110,2026-05-31T08:36:23.025832
7e9f8f71-23c3-4c75-90d0-94fc96f0fde4,lembaga-6,user-36,Pengembangan Diri,2026-06-29T11:53:31.296924,2026-12-20T14:18:20.584061
b3bd131c-367d-48be-bd59-520df3a59061,lembaga-18,user-58,Humas,2025-08-22T22:06:28.389010,2025-11-07T16:59:06.415018
085f1ae4-7663-402e-a911-aaa7ec833c74,lembaga-8,user-74,Humas,2026-04-19T06:34:55.347700,2026-06-10T15:09:27.867372
48ae2927-e26c-4a99-9cff-63a2b302c655,lembaga-19,user-80,Minat Bakat,2026-04-09T22:06:56.771902,2026-07-05T10:54:29.972862
dfed5ef1-1ffb-4ad3-8402-cdd5a226ccb7,lembaga-12,user-63,Minat Bakat,2026-06-18T02:28:16.646158,2027-05-05T09:22:11.343194
08a12c3e-237d-4a2f-a51b-459e88770512,lembaga-2,user-33,Humas,2026-05-02T07:07:26.983475,2026-11-20T01:29:16.823926
4e36066d-d369-40b9-8222-3a2ae14987d3,lembaga-4,user-72,Internal,2026-07-12T10:17:05.101106,2026-11-10T02:34:59.841312
89a25989-a33f-45f5-ac28-52d2a615d94d,lembaga-4,user-46,Humas,2026-03-09T13:53:00.444026,2026-04-23T02:44:34.293284
b7363b7e-fb6f-49be-a29c-43f63869dbcd,lembaga-17,user-35,Internal,2025-08-13T02:15:26.225527,2026-01-18T23:10:10.480925
f61e27fe-fc72-45d9-bed4-3881e2e7919f,lembaga-8,user-29,Pengembangan Diri,2025-12-03T11:19:58.400932,2026-03-04T02:57:44.633186
05be2453-cf86-4c72-b13c-cd1fd0b40b6a,lembaga-16,user-93,Humas,2026-02-01T06:54:36.424497,2026-11-01T21:13:06.866262
82acb968-cb3e-4a0b-b025-8d2cdeda9af3,lembaga-5,user-27,Akademik,2026-07-20T08:30:52.021677,2026-08-04T23:54:51.118744
38fb0392-a444-4362-ac79-0621fb550eb2,lembaga-18,user-29,Minat Bakat,2026-02-05T05:32:16.678217,2026-03-11T18:26:03.212816
a7aa97a0-cb0e-44f0-8ef6-c6c124b38dab,lembaga-18,user-91,Pengembangan Diri,2026-06-21T17:25:04.378628,2026-08-24T11:32:38.568872
3943b4d6-7664-4664-a959-8231e2a0d53a,lembaga-6,user-62,Akademik,2026-03-18T03:12:53.574274,2026-10-14T06:00:18.093617
802f639c-ba3a-4825-b436-6b6a5740a061,lembaga-19,user-82,Minat Bakat,2026-03-14T21:57:50.035518,2026-04-01T01:25:16.713165
5f819ca7-242a-43d1-81e6-03ad95de1092,lembaga-9,user-97,Humas,2025-09-29T07:02:48.695587,2026-02-26T04:26:34.176185
09c4abfb-ac75-4914-931b-0391555b18dc,lembaga-13,user-73,Akademik,2025-12-22T22:49:11.655635,2025-12-23T20:10:27.785988
6c08ad97-d7e3-4ae1-a357-967874a867eb,lembaga-4,user-65,Akademik,2026-07-05T17:19:27.089383,2027-01-12T11:05:54.576720
68a4b19a-863b-4f8a-90f0-871eea70ba79,lembaga-13,user-41,Akademik,2025-10-04T01:57:04.798115,2025-11-27T12:13:32.044612
6ad2c1dc-1b1e-4098-aa78-a29dedf251e7,lembaga-13,user-41,Akademik,2025-09-22T12:07:59.505967,2025-12-04T18:29:43.142320
b1f8234e-56f3-4ed6-9e47-6f3da7f90ab1,lembaga-17,user-58,Humas,2025-11-02T15:51:56.428640,2025-11-26T11:28:56.321240
ddfc52ea-90f6-4ba3-83dd-3a5502b7286f,lembaga-2,user-77,Pengembangan Diri,2025-12-15T05:54:56.748476,2026-04-30T22:13:37.329425
da15e3a7-c15b-4039-8986-d7d2000d90d6,lembaga-5,user-76,Humas,2026-06-29T15:44:04.554853,2026-11-18T20:49:02.846344
2506b4d2-c190-45cb-8c5a-535d589a99fa,lembaga-7,user-66,Internal,2025-12-05T21:53:21.005226,2025-12-22T06:28:20.720589
