id,org_id,name,description,image,background_image,start_date,end_date,status,oprec_link,location,participant_limit,participant_count,is_highlighted,is_organogram,created_at,updated_at
event-1,lembaga-9,Seminar Cyber Security 1980,"Molestiae dolorum aliquam corporis. Quae sit expedita reiciendis maxime reprehenderit eius.
Est nam neque aspernatur nulla. Non aliquam harum aspernatur odit.
Impedit aperiam debitis. Quod at placeat saepe hic illo.
Odio libero magnam. Neque perferendis dolorum quis ipsum.",https://picsum.photos/800/600,https://placekittens.com/1200/800,2027-03-15T04:59:20.009221,2027-03-15T15:57:47.027595,Ended,http://wilcox.com/,Gedung B,424,76,True,True,2027-01-19T18:48:23.444451,2027-02-13T04:59:20.585599
event-2,lembaga-12,Conference Cyber Security 2009,"Rem reiciendis officiis voluptatum. Non praesentium magni nostrum temporibus laborum. Ad commodi suscipit amet ipsa.
Similique dolor ex sed inventore. Consequuntur quae laborum. Incidunt fugit est dicta.",https://picsum.photos/800/600,https://dummyimage.com/1200x800,2027-03-17T13:13:58.873817,2027-03-17T13:58:59.627851,Ended,http://www.fuentes.com/,Pariaman,298,17,False,False,2027-03-06T12:08:05.323788,2027-02-15T13:13:58.545516
event-3,lembaga-9,Hackathon Mobile 1984,"A minima nam. Nobis alias praesentium.
Provident optio rem eius. Consequatur dolor cupiditate optio occaecati deserunt. Doloremque necessitatibus explicabo odit distinctio neque.",https://placekittens.com/800/600,https://dummyimage.com/1200x800,2027-05-07T20:12:08.918478,2027-05-10T23:03:38.047152,Coming Soon,,Gedung B,473,63,False,True,2027-04-06T12:54:00.625150,2027-04-07T20:12:08.752979
event-4,lembaga-7,Conference Blockchain 1972,"Back long thus glass a soon clear dog.
Argue suffer number police beautiful sometimes collection able. Break dog should which sing join court.
Forget respond still bring. List catch sing indicate. Price grow moment.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-11-05T17:30:41.185062,2026-11-06T09:58:58.509032,Coming Soon,https://ud.net.id/,Online (Zoom),195,43,False,False,2026-10-30T14:01:05.441391,2026-10-06T17:30:41.435913
event-5,lembaga-7,Competition Cyber Security 1995,"Expedita sed veniam minus tempore. Impedit ipsam beatae accusantium nesciunt quia. Aliquid vero distinctio placeat.
Eligendi pariatur quod fugiat architecto repudiandae voluptatibus. Repudiandae architecto cupiditate quas.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2026-07-16T17:07:20.603706,2026-07-17T08:40:39.895062,Ended,,Gedung A,141,85,True,True,2026-06-24T14:04:14.192059,2026-07-11T13:25:01.429687
event-6,lembaga-10,Workshop Mobile 2012,"Quality few forget first investment. Forget follow reach student. Collection paper half fish college writer could.
Water employee together network.
World beat lawyer worry mention hour rock. Street difference get section. Better population response mission record attention toward.",https://dummyimage.com/800x600,https://dummyimage.com/1200x800,2026-09-24T23:39:31.123636,2026-09-25T10:30:34.813160,Ended,http://www.jones.com/,Lapangan Kampus,307,15,False,True,2026-08-04T16:16:35.039776,2026-08-25T23:39:31.020591
event-7,lembaga-1,Seminar Mobile 2025,"Culture become practice strong. Them building degree customer respond next reduce eight. Owner play of education industry recognize later authority.
Language early weight can spend. Catch million wish likely be. Political follow voice degree reflect feeling. Leg fall hold build trial.",https://dummyimage.com/800x600,https://picsum.photos/1200/800,2027-02-23T12:39:23.111950,2027-02-25T07:05:36.254601,On going,https://mullins-castillo.biz/,Lab Komputer,256,1,False,False,2027-02-08T23:27:21.799540,2027-01-24T12:39:23.111282
event-8,lembaga-9,Bootcamp Data Science 2023,"Expect care across executive economy candidate. Ready born inside.
Fight couple simple among. Several cost run my baby oil local.
Within decision poor consumer expect seem design. Early more western process include ago stock. Little spend value computer interest.",https://picsum.photos/800/600,https://picsum.photos/1200/800,2026-09-27T08:21:36.464033,2026-09-27T23:12:58.601591,Ended,,Gedung B,403,87,True,False,2026-08-22T17:06:00.502625,2026-08-28T08:21:36.380071
event-9,lembaga-19,Conference Blockchain 1976,"Incidunt quae assumenda eligendi. Porro qui nesciunt labore neque iure mollitia iste. Modi rem perferendis ipsum aliquam. Eos amet dicta ab soluta.
Ullam id nihil commodi ea animi. Quis quae tenetur quia vero.
Deserunt quis in accusamus dignissimos odit. Veniam asperiores consectetur et cupiditate.",https://dummyimage.com/800x600,https://placekittens.com/1200/800,2027-06-03T08:02:03.403669,2027-06-05T20:08:16.591215,Coming Soon,,Lab Komputer,323,0,False,True,2027-05-02T02:20:33.378453,2027-05-04T08:02:03.250190
event-10,lembaga-9,Hackathon Cyber Security 2004,"Drive son anyone study produce budget I. Pattern TV responsibility side mean partner air best. Bed without road. Sure reach peace coach.
Idea star need put realize great challenge exist. Begin its nice rich. Kitchen sell many bring century by. Administration different wrong suddenly me.",https://picsum.photos/800/600,https://dummyimage.com/1200x800,2026-08-15T02:34:15.720756,2026-08-18T09:22:21.713486,Ended,,Lapangan Kampus,115,52,False,False,2026-08-01T14:26:11.751651,2026-07-26T06:04:32.497584
