id,event_id,user_id,position,division,description
445bfc47-39e1-4f73-96af-c92a093ccf56,event-44,user-76,Bendahara,Acara,
a5cb6622-c38d-42f1-9476-c29a74e74ecf,event-138,user-93,Staff,Dokumentasi,
2506a2de-37db-4ec7-848b-9f41cc357f85,event-13,user-32,Anggota,Konsumsi,
c6cb4851-fe72-4793-b15f-205f2917567c,event-40,user-90,Staff,Dokumentasi,"Reiciendis inventore sit minima itaque libero explicabo. Odit dolore molestias libero illum exercitationem.
Amet quae occaecati. Ratione modi tempore soluta dolor a. Commodi aliquam voluptatem."
993d8f8b-5980-47e2-acfd-7ca971acf334,event-1,user-91,Koordinator,Keamanan,"Recusandae sequi eaque possimus. Ipsa consectetur omnis illo. Placeat facere corrupti reprehenderit.
Tempora maiores in ducimus totam."
dae3d0a5-748d-46f9-a700-1b69160f5d42,event-142,user-23,Koordinator,Transportasi,There offer state. Treat start record both memory attorney. Maintain product drop remain word or role huge. Order three former approach measure side.
4481b1aa-dc34-4e48-90a4-6680ab987a2c,event-109,user-30,Ketua,Konsumsi,
962c6bba-414e-4aaf-af44-97eca4b6637f,event-51,user-36,Staff,Humas,
888396b1-450f-4432-b88a-d4e79edd7f16,event-99,user-76,Anggota,Keamanan,"Town TV also me. Produce office tend how same. Rather hand front probably beautiful. The student shoulder establish newspaper later.
Great drive sort according lead."
14afbe69-7607-4345-90d9-5739574eab5f,event-55,user-92,Koordinator,Humas,Enim ipsum voluptatibus molestias repudiandae.
a636d786-cb9e-4364-8153-574fb5508eb9,event-93,user-93,Koordinator,Humas,
36280b4b-7122-4939-8831-baa312d77cee,event-58,user-82,Anggota,Perlengkapan,
7f7bfcc8-3eed-435c-9deb-069d70d46b32,event-90,user-80,Sekretaris,Konsumsi,
7e08eed0-7622-43f1-8f05-3062c1bf30b9,event-106,user-29,Anggota,Dokumentasi,
0c45cae5-5ba2-454c-bdc8-97e34afbfa56,event-135,user-88,Bendahara,Acara,
91169745-ee93-4af3-a100-cf842244f3e5,event-148,user-35,Sekretaris,Keamanan,Eius illo cupiditate nulla consequatur numquam itaque. Possimus perferendis error qui. Minima deserunt neque.
55c68cea-8016-4b19-a3a1-7b46d13fe615,event-72,user-24,Bendahara,Konsumsi,
3cd16234-6291-4db7-9b3e-12f7c205d68d,event-94,user-100,Staff,Dokumentasi,
29a06198-7cac-471c-a0ea-9978d3983a8a,event-149,user-80,Staff,Humas,
199ff927-c64c-4c11-938e-c1ee8241bfd6,event-53,user-56,Staff,Perlengkapan,Quis perferendis eveniet laudantium sunt deleniti. Illo illum magnam velit animi quasi dignissimos.
5a799983-c941-42cc-969a-0437971b6fe2,event-85,user-50,Koordinator,Konsumsi,Optio totam vel minus totam. Aliquam rem molestiae ullam repellat. Nulla eligendi error culpa dolorem sed.
3b103b38-b416-4410-9f2a-eda7ca2e2eda,event-93,user-75,Bendahara,Keamanan,Sit season majority trial. Actually all should approach loss describe figure southern.
98382a81-fc92-499c-a34c-5787bece6391,event-99,user-71,Anggota,Keamanan,
3c5bf760-efd3-47a5-8c7a-6356e022966c,event-95,user-38,Sekretaris,Transportasi,
8ee7ba2f-2f23-4512-80ad-3024f969b5b4,event-66,user-85,Ketua,Transportasi,
