email,name,description,founding_date,ending_date,type,major,field,member_count,description_original
hmif-de@std.stei.itb.ac.id,Himpunan Mahasiswa Informatika ITB,Himpunan Mahasiswa Informatika ITB adalah organisasi kemahasiswaan Teknik Informatika yang menjadi rumah belajar serta wahana pengembangan potensi keprofesian dan eksistensi sosial anggotanya.,1982-10-11,,Himpunan,Teknik Informatika,,844,"Himpunan Mahasiswa Informatika ITB (HMIF ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Informatika serta Sistem dan Teknologi Informasi ITB, yang mewadahi pengembangan keprofesian dan kegiatan kemahasiswaan anggotanya."
patra_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Perminyakan ITB,Himpunan Mahasiswa Teknik Perminyakan ITB adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Perminyakan ITB yang mengembangkan kompetensi profesional dan dampak nyata anggotanya.,1963-12-24,,Himpunan,Teknik Perminyakan,,292,Himpunan Mahasiswa Teknik Perminyakan PATRA ITB (HMTM PATRA ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Perminyakan ITB.
hme_itb@km.itb.ac.id,Himpunan Mahasiswa Elektroteknik ITB,"Himpunan Mahasiswa Elektroteknik ITB adalah lembaga kemahasiswaan Teknik Elektro untuk mengembangkan diri, mempererat kekeluargaan, dan memublikasikan karya.",1949-12-05,,Himpunan,Teknik Elektro,,571,"Himpunan Mahasiswa Elektroteknik ITB (HME ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Elektro ITB, yang menjadi ruang pengembangan diri, keprofesian, dan karya anggotanya."
hmftitb@km.itb.ac.id,Himpunan Mahasiswa Fisika Teknik ITB,"Himpunan Mahasiswa Fisika Teknik ITB adalah lembaga kemahasiswaan tingkat program studi Teknik Fisika di ITB yang berperan sebagai ruang belajar, berkarya, dan berbagi bagi mahasiswanya.",1953-12-17,,Himpunan,Teknik Fisika,,283,"Himpunan Mahasiswa Fisika Teknik ITB (HMFT-ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Fisika ITB, dengan fokus pengembangan potensi anggota sesuai watak keilmuan dan keprofesian serta kepeloporan inovasi teknologi."
imgitb.relation@gmail.com,Ikatan Mahasiswa Geodesi ITB,"Ikatan Mahasiswa Geodesi ITB adalah himpunan mahasiswa Teknik Geodesi dan Geomatika di ITB yang berperan sebagai wadah pengembangan keilmuan, keprofesian, dan kekeluargaan.",,,Himpunan,Teknik Geodesi dan Geomatika,,,Ikatan Mahasiswa Geodesi ITB (IMG-ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Geodesi dan Geomatika ITB.
bp@himatika.itb.ac.id,Himpunan Mahasiswa Matematika ITB,"Himpunan Mahasiswa Matematika ITB adalah organisasi kemahasiswaan bagi mahasiswa program studi Matematika ITB, yang mewadahi pengembangan keprofesian dan kegiatan kemahasiswaan anggotanya.",1960-11-23,,Himpunan,Matematika,,456,Himpunan Mahasiswa Matematika ITB (HIMATIKA ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Matematika ITB.
imag_itb@km.itb.ac.id,Ikatan Mahasiswa Arsitektur Gunadharma ITB,Ikatan Mahasiswa Arsitektur Gunadharma ITB adalah lembaga kemahasiswaan arsitektur yang menjadi wadah pengembangan ilmu pengetahuan dan dampaknya bagi masyarakat.,1951-11-15,,Himpunan,Arsitektur,,287,"Ikatan Mahasiswa Arsitektur Gunadharma ITB (IMA-G ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Arsitektur ITB, yang berfokus pada penanaman semangat dan kemampuan berkarya anggotanya."
amisca_itb@km.itb.ac.id,Himpunan Mahasiswa Kimia 'Amisca' ITB,"Himpunan Mahasiswa Kimia 'Amisca' ITB adalah organisasi kemahasiswaan bagi mahasiswa program studi Kimia ITB yang mewadahi pengembangan diri, kesejahteraan, dan kekeluargaan anggotanya.",1956-02-10,,Himpunan,Kimia,,342,Himpunan Mahasiswa Kimia 'Amisca' ITB (HMK 'Amisca' ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Kimia ITB.
bpmtiitb@gmail.com,Keluarga Mahasiswa Teknik Industri ITB,Keluarga Mahasiswa Teknik Industri ITB adalah organisasi kemahasiswaan prodi Teknik Industri ITB yang mewadahi pembelajaran inklusif dan pengelolaan pengetahuan untuk pengembangan diri anggota.,1976-02-24,,Himpunan,Teknik Industri,,480,"Keluarga Mahasiswa Teknik Industri ITB (MTI ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Industri ITB, yang menunjang pengembangan akademik, keilmuan, dan karya anggotanya."
triton_itb@km.itb.ac.id,Himpunan Mahasiswa Oseanografi ITB,"Himpunan Mahasiswa Oseanografi ITB adalah organisasi kemahasiswaan bagi mahasiswa Oseanografi yang memajukan ilmu kelautan, penguatan akademik, serta mewujudkan karya bermanfaat bagi Indonesia.",2008-09-19,,Himpunan,Oseanografi,,213,Himpunan Mahasiswa Oseanografi TRITON ITB (HMO TRITON ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Oseanografi ITB.
hmp_itb@km.itb.ac.id,Himpunan Mahasiswa Teknik Perencanaan Wilayah dan Kota Pangripta Loka ITB,Himpunan Mahasiswa Teknik Perencanaan Wilayah dan Kota Pangripta Loka ITB adalah organisasi mahasiswa yang menjadi katalisator perkembangan warga dan penggerak kebermanfaatan.,2004-12-04,,Himpunan,Perencanaan Wilayah dan Kota,,258,Himpunan Mahasiswa Teknik Perencanaan Wilayah dan Kota Pangripta Loka ITB (HMP PL ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Perencanaan Wilayah dan Kota ITB.
kmpn_itb@km.itb.ac.id,Keluarga Mahasiswa Teknik Penerbangan ITB,"Keluarga Mahasiswa Teknik Penerbangan ITB adalah himpunan mahasiswa Teknik Dirgantara yang mewadahi aspirasi, mendukung pendidikan, dan menyalurkan karya anggota.",1997-08-06,,Himpunan,Teknik Dirgantara,,256,Keluarga Mahasiswa Teknik Penerbangan ITB (KMPN ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Penerbangan ITB.
bestarihmtlitb@gmail.com,Himpunan Mahasiswa Teknik Lingkungan ITB,Himpunan Mahasiswa Teknik Lingkungan ITB adalah lembaga kemahasiswaan yang mewadahi pengembangan dan aktualisasi diri sekaligus menjadi corong pergerakan lingkungan untuk Indonesia.,1962-11-10,,Himpunan,Teknik Lingkungan,,335,Himpunan Mahasiswa Teknik Lingkungan ITB (HMTL ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Lingkungan ITB.
himastron_itb@km.itb.ac.id,Himpunan Mahasiswa Astronomi ITB,"Himpunan Mahasiswa Astronomi ITB (Himastron ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Astronomi ITB, yang menjadi rumah aktualisasi diri dan karya keastronomian anggotanya.",2004-12-04,,Himpunan,Astronomi,,168,
archaea_itb@km.itb.ac.id,Himpunan Mahasiswa Mikrobiologi 'Archaea' ITB,"Himpunan Mahasiswa Mikrobiologi 'Archaea' ITB adalah organisasi kemahasiswaan bagi mahasiswa program studi Mikrobiologi ITB yang mewadahi pengembangan diri, keilmuan, dan profesionalisme anggotanya.",2013-03-27,,Himpunan,Mikrobiologi,,136,Himpunan Mahasiswa Mikrobiologi 'Archaea' ITB (HIMAMIKRO 'Archaea' ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Mikrobiologi ITB.
immg_itb@km.itb.ac.id,Ikatan Mahasiswa Metalurgi ITB,Ikatan Mahasiswa Metalurgi ITB adalah organisasi kemahasiswaan Teknik Metalurgi yang mengembangkan potensi diri berkarakter dan berkontribusi pada kemajuan bangsa melalui kegiatan akademik kondusif.,2007-10-05,,Himpunan,Teknik Metalurgi,,257,Ikatan Mahasiswa Metalurgi ITB (IMMG ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Metalurgi ITB.
himasda_itb@km.itb.ac.id,Himpunan Mahasiswa Sumber Daya Air ITB,"Himpunan Mahasiswa Sumber Daya Air ITB adalah organisasi kemahasiswaan prodi Teknik dan Pengelolaan Sumber Daya Air yang mengembangkan karier, menyalurkan potensi, serta kepedulian sosial anggotanya.",2015-03-23,,Himpunan,Teknik dan Pengelolaan Sumber Daya Air,,120,Himpunan Mahasiswa Sumber Daya Air ITB (Himasda-ITB) adalah organisasi kemahasiswaan bagi mahasiswa program studi Teknik Sumber Daya Air ITB.
