id,user_id,name,description,founding_date,ending_date,type,major,field,member_count,created_at,updated_at
lembaga-1,user-3,Himpunan Mobile Dev,"Him single bar. Yard material suffer radio suddenly about. Mind return write break who morning civil.
Certain nation year no police themselves per.",2022-11-13,2026-11-27,UKM,,Seni,64,2025-09-01T04:25:51.452377,2026-04-25T17:15:49.026806
lembaga-2,user-4,UKM Cyber Security,"Opportunity drug kitchen drug. Off machine four become lay. Small drug authority whose.
Water defense deal. Rock when always radio.",2023-07-07,,Himpunan,Teknik Komputer,,77,2025-02-25T16:28:09.202879,2026-03-27T12:28:15.679404
lembaga-3,user-5,Organisasi Cyber Security,Various front a Democrat under provide accept.,2022-10-04,,Himpunan,Sistem Informasi,,151,2025-03-19T16:28:36.202271,2026-06-06T14:25:40.526426
lembaga-4,user-6,UKM AI Society,"Error mollitia qui beatae beatae. Illo architecto placeat praesentium doloribus modi.
Et dolore sit praesentium.",2021-03-04,,Kepanitiaan,,,74,2025-12-07T06:53:58.447945,2026-07-06T08:30:04.767922
lembaga-5,user-7,UKM Web Dev,"Totam repudiandae cum. Eum deleniti eligendi inventore nostrum eaque qui. Vel quia velit quod harum ad.
Velit optio repellendus animi ratione. Quaerat cumque mollitia quibusdam expedita.",2019-09-02,,Himpunan,Teknik Elektro,,23,2025-07-14T20:35:40.837345,2025-08-23T02:52:28.075784
lembaga-6,user-8,Himpunan AI Society,"Win ready material. Pass those thousand.
List site kitchen task treat. Sign ability term claim degree every. Return top husband different rise several.",2020-11-09,,Kepanitiaan,,,94,2025-04-26T21:08:45.451421,2026-05-16T12:17:17.284307
lembaga-7,user-9,Organisasi AI Society,Ut tempore velit fugiat ipsum soluta. Magnam placeat eaque delectus. Minus deserunt deleniti fugit illo quia possimus rem.,2019-07-27,,Himpunan,Teknik Komputer,,94,2025-02-25T15:27:47.735049,2025-08-30T12:21:03.552256
lembaga-8,user-10,UKM Coding Club,Earum esse libero illum. Omnis quidem tenetur voluptas autem exercitationem.,2022-05-23,,Himpunan,Teknik Elektro,,175,2026-03-04T12:01:13.912704,2026-06-29T00:13:14.504712
lembaga-9,user-11,Himpunan Coding Club,Tenetur voluptas nihil neque rerum rem. Iusto sit ipsam ipsam laudantium.,2019-09-01,,UKM,,Olahraga,200,2025-10-15T06:11:32.450950,2026-02-06T00:48:38.450086
lembaga-10,user-12,UKM TechFest,"Within hand book lawyer recognize impact be pull. Once theory senior whatever eight team coach. Mission simple late.
Meeting them gun change. White itself especially worry any.",2025-01-09,,Himpunan,Sistem Informasi,,146,2025-05-31T09:08:02.426760,2025-08-17T09:23:34.721062
lembaga-11,user-13,Himpunan AI Society,Error neque nesciunt id est exercitationem. Eligendi accusantium hic nesciunt necessitatibus.,2025-02-03,,Kepanitiaan,,,153,2024-12-08T00:47:51.009481,2026-07-27T00:13:33.190965
lembaga-12,user-14,Organisasi Robotics,"Animal live trip you. Dog forget street clear fine fly over.
Itself team price. Military effect drug wide property bad amount.
Approach hotel speak indicate perform. She forward movement thus.",2025-05-03,,Kepanitiaan,,,28,2026-08-10T03:58:14.423816,2026-03-31T13:57:10.863826
lembaga-13,user-15,Himpunan AI Society,"Aliquid quis odio non et. Illum illum praesentium praesentium id aut eum.
Culpa nostrum qui porro. Consequuntur vel voluptate fugiat iste.",2024-03-25,2027-04-04,Himpunan,Teknik Komputer,,114,2026-02-07T02:24:00.182295,2025-12-02T14:52:43.763330
lembaga-14,user-16,Himpunan TechFest,"Atque velit ab distinctio accusantium iste possimus. Rem est quis natus reiciendis.
Repellendus eaque nam aliquam sit. Ex quo animi molestiae.",2023-07-29,,Kepanitiaan,,,107,2025-12-10T19:04:09.978705,2026-04-25T16:46:04.566497
lembaga-15,user-17,UKM TechFest,"Veniam laboriosam blanditiis ullam voluptas. Excepturi magni incidunt corporis repellat consequatur eligendi.
Natus cum deleniti voluptas. Voluptatibus eius ducimus rerum.",2024-02-01,,UKM,,Lingkungan,146,2025-07-05T10:54:52.440016,2026-07-04T23:11:59.279338
lembaga-16,user-18,UKM AI Society,Nisi corporis eveniet perferendis vel quos. Iure minima at adipisci dolor corporis. Consequatur dolore possimus molestias laboriosam.,2025-04-26,,UKM,,Teknologi,18,2025-08-08T04:21:36.335539,2025-11-05T11:07:26.248134
lembaga-17,user-19,UKM AI Society,"Cupiditate aliquam possimus unde commodi voluptatibus. Veritatis nulla deleniti architecto eos.
Sit repellendus ullam quis maiores facere. Pariatur in sed hic. Maiores mollitia eius voluptas.",2022-09-23,,UKM,,Olahraga,99,2025-07-26T06:05:51.180146,2025-11-01T02:14:09.721769
lembaga-18,user-20,Organisasi Robotics,"Owner instead case. Prove section scene all in strong. Few drive understand like add prove join measure.
Radio politics gas. Home from common go four positive.",2023-04-29,,Kepanitiaan,,,192,2024-09-10T12:55:07.364025,2026-06-14T10:05:34.174685
lembaga-19,user-21,UKM Data Science,Interest song its culture per. Activity wonder loss it. Forget significant foot election remain girl.,2018-10-01,,Himpunan,Teknik Komputer,,21,2026-05-12T10:50:16.127012,2025-10-16T12:54:09.942179
lembaga-20,user-22,Himpunan Robotics,"You rock TV claim part sister. Guy toward woman better then agree.
Various head four seat. Fast talk great wall floor than final. Certain house dark clearly team.",2023-07-05,,Kepanitiaan,,,120,2026-06-01T00:42:26.627835,2026-06-09T13:35:04.932798
