id,profil_id,mahasiswa_id,nilai
fb3246d6-7965-4fa8-8094-03828774b711,8521ac01-4c59-4211-9808-91658786ac53,user-37,68
3762843d-7922-4637-ade1-61eec9f64c36,a3b27c26-49af-4bef-9865-1b43d24ccf1e,user-85,78
6ba31e5f-ece0-4556-b570-f39ad670430a,ab5abf6f-66ba-42e0-b66a-2dd6b6757b32,user-28,74
328a5fcf-9e03-438b-8c8b-9931f1fd6d07,6dad52e2-9dec-438b-a2ec-9d5a8ff64532,user-91,79
a0a000af-9cfb-478c-baab-daa87ad1f152,5acb2f38-be93-404b-b04e-19f609b28279,user-35,98
38a4eabe-cf5f-47d3-a155-ca1e8fc4b39f,a70f0739-c7cf-4d61-9ce8-458ab0ad8bd6,user-82,96
64ec71bb-a91c-42a2-bf44-bed9abe34884,2f55d032-5ccc-48ae-a2c3-8bb7c76cc7b0,user-66,83
9651e6d4-7de0-4347-a61a-d4695bb791d9,f84e70f8-4cd3-4250-a21e-c0fb9787d24c,user-33,60
66ade23a-ab6d-4a15-8664-3f33090f8192,bf41b4cd-8447-4f58-9a1a-928dafa34e1a,user-61,62
e9838a44-e3ba-4fb8-9fb8-8a76652c3162,fa85d4f1-51f2-423c-abb4-9f4a71a627ae,user-44,83
cb6242ba-38bc-4fb3-9c76-41b36ccad6f0,e0bfa8ed-25bf-4911-a832-3af4e60ff2e4,user-25,92
41768ca9-b130-4f7e-9338-45d2e87a62cc,a70f0739-c7cf-4d61-9ce8-458ab0ad8bd6,user-100,90
ab85f918-241b-4e62-987f-2feaa0eb4379,fe679349-6ee6-4fd2-a5c9-15871b2410bb,user-67,64
cc98b92e-41c2-4653-bdfe-c83b87589145,9a61f980-defd-4bf9-93ab-8799ae7feaca,user-27,88
367341ed-9dba-4578-9193-eac3ebd43a62,e3e8f2d0-595c-4f21-abef-f440872e77fd,user-53,86
0fbcc757-9842-421b-9f00-acade60d9b01,d4064804-d919-4743-b858-d5cbb07e0304,user-46,66
3f205ec8-44b8-47d8-9fb7-1615ef8db238,b967eeb4-fd6d-459e-a5ad-212ad0dbf65a,user-24,93
ef2f5214-f9a1-4963-a88f-dd7c84484b5e,fa85d4f1-51f2-423c-abb4-9f4a71a627ae,user-80,74
9f7c23db-4890-4b65-a51f-80ff1a33ac4a,d4064804-d919-4743-b858-d5cbb07e0304,user-29,99
f93789c8-035d-4c0e-9176-cb6fdf10f70b,cf5c02d0-fae9-4744-bdaa-bc86daae9c5d,user-98,69
976fc86f-97c9-4bb5-8c04-0098c3ef9432,fa85d4f1-51f2-423c-abb4-9f4a71a627ae,user-49,74
8abcd8d4-8a58-4131-9f5a-43dcfe9aa755,e0bfa8ed-25bf-4911-a832-3af4e60ff2e4,user-47,94
61ed5882-615f-4d9e-9c44-a57f78eba0e0,af39f5c0-84e3-416d-b27e-e68bb89d4f78,user-66,88
efacf02c-fa9e-4d90-a2d6-7e238aaac202,67a33a42-33c9-48c3-803f-ee26b706bd7d,user-28,77
9da70c05-ec52-4ac5-9f86-55c3586ec6de,c65365ef-5360-4429-b4f2-f4c1707a1100,user-93,72
6e1b143e-e9fa-4a21-9708-12db43d5c328,8521ac01-4c59-4211-9808-91658786ac53,user-81,85
f7bf83c8-2242-49a1-bdaf-d59f2bb64c8f,5fe2988f-933f-4e9b-a363-4b82043f459c,user-53,99
67a17035-34c4-4402-b67e-9690ff47527e,9a61f980-defd-4bf9-93ab-8799ae7feaca,user-94,97
5051e46e-5060-48a5-8326-7980e90325f8,0c82c3ba-e315-4b40-803e-f082720d839e,user-30,78
d5175fb2-017e-4faa-9841-cced80560e55,8521ac01-4c59-4211-9808-91658786ac53,user-41,65
6bb9ef08-3715-495c-b735-70837a8fd960,bf41b4cd-8447-4f58-9a1a-928dafa34e1a,user-47,76
55a81880-1959-408e-8528-7d01afa8d1af,9a61f980-defd-4bf9-93ab-8799ae7feaca,user-96,81
c651b4c8-1498-48df-8667-f53cfc4aae2e,a3b27c26-49af-4bef-9865-1b43d24ccf1e,user-61,73
dd4821d3-4c7e-4538-9d15-8840367c3f95,0c82c3ba-e315-4b40-803e-f082720d839e,user-35,90
096ee9b0-5ce9-40d8-8c8b-6aea7b3ed87c,a70f0739-c7cf-4d61-9ce8-458ab0ad8bd6,user-75,100
32539ecd-89c0-444c-99b5-7638e70397c8,a3b27c26-49af-4bef-9865-1b43d24ccf1e,user-24,98
a32ed398-61a6-4d16-b6f6-6e92a9538246,a3b27c26-49af-4bef-9865-1b43d24ccf1e,user-71,72
3ab05550-0477-4bab-9b5c-df8e0bf05da0,f2e02c49-4c5d-402b-9601-fb06f6a0af23,user-82,72
96cf488d-3659-485c-952e-72fa6a1b6058,ad490d7f-14ec-405e-a446-3349172e2a63,user-41,79
fa96f57a-7559-4804-a2fc-c22047ce7017,4375202f-ab95-40e1-b29c-ffedb30c92e0,user-86,88
6363c16f-11ad-446c-98a1-919222aa5009,c43d86a7-e69f-4084-894e-9f7dfaf26775,user-89,69
dd7b4d90-4689-4a0f-994f-f9a2587b4b9b,fa85d4f1-51f2-423c-abb4-9f4a71a627ae,user-38,66
3944268f-f850-47cf-9d58-08e8a37c5ce2,a70f0739-c7cf-4d61-9ce8-458ab0ad8bd6,user-46,91
49d53c9a-537a-47a3-a659-dafaecd8a9e9,a11c6787-d49f-4abc-b502-0bddd652f435,user-26,100
457de60f-7281-4309-a28b-b05c946440c1,89bdfbbb-d067-4c46-a1d2-ed014d7306c6,user-33,73
56e6acff-8529-4661-900c-e886ed79c779,c65365ef-5360-4429-b4f2-f4c1707a1100,user-63,93
1196ff92-66ef-4e60-86fd-97303691f677,5acb2f38-be93-404b-b04e-19f609b28279,user-97,73
0d26b6b4-9a4b-45a6-95f8-149ce3cc153c,b967eeb4-fd6d-459e-a5ad-212ad0dbf65a,user-56,92
2074ad3b-e03c-46c2-8862-8c1eafc43b0d,cd5e4eb8-e231-49b9-8bbc-be266a0f61f0,user-55,100
9b643163-f386-4e31-a98b-0f2290d04878,8ccb7a57-afa0-4ec7-a319-230849d02c5f,user-53,92
592a3504-5f33-48e0-8fba-9e95403a7b44,ad490d7f-14ec-405e-a446-3349172e2a63,user-64,69
646092f7-1c6f-42d8-bc47-2eab42b8d27b,ab5abf6f-66ba-42e0-b66a-2dd6b6757b32,user-86,91
64d69bd3-1dc7-4099-baec-4c3e3452fabe,89bdfbbb-d067-4c46-a1d2-ed014d7306c6,user-40,98
4fed3b31-a50b-4e40-9f37-7f73cf32b2f4,27bed625-9c4f-4198-8c47-b108416bee64,user-95,79
198f5b57-278b-4f5c-8605-75c019dffe5c,bf41b4cd-8447-4f58-9a1a-928dafa34e1a,user-52,99
67f0f475-aaf9-4286-a8a3-be1af2ea28d9,cb30bd61-a71c-470a-9047-e8d249c472fe,user-23,60
ed6f63d1-317f-4d82-a749-f0a4a069359d,d2befa57-3d58-4883-b349-9bbc3acd4892,user-80,62
2b21ac1c-6b05-4abe-98c5-a6c5a57d4a5a,b967eeb4-fd6d-459e-a5ad-212ad0dbf65a,user-37,79
87a47ef7-50b3-44a3-8c81-c8713bf31be2,67a33a42-33c9-48c3-803f-ee26b706bd7d,user-83,61
0b42ca3e-1d87-4a2b-a2d2-0c4a1dd4a5aa,cf5c02d0-fae9-4744-bdaa-bc86daae9c5d,user-95,87
6233ac27-108f-41aa-a434-0ad71a76f574,bf41b4cd-8447-4f58-9a1a-928dafa34e1a,user-90,60
cfe54345-79c2-4ea4-a297-4faa6493baa6,cd5e4eb8-e231-49b9-8bbc-be266a0f61f0,user-54,97
d0c9cd1e-d563-40e0-9b9f-27b7a5d24dbb,cb30bd61-a71c-470a-9047-e8d249c472fe,user-30,94
564ffd25-1ad7-470b-b5d0-b0a49dbd52a4,cf5c02d0-fae9-4744-bdaa-bc86daae9c5d,user-58,78
3da0c96d-9528-4c0c-8122-a5e81f12b2fd,f47e213d-2ad4-40bc-9dc9-58d98ccf77b2,user-93,64
29a2d940-d8b9-4232-b9c6-6e4af06a5561,3e49805c-79ce-46d5-9c18-3579787d0445,user-31,63
230baeb7-8b4a-4271-93fd-b4a89b1bda5b,cb30bd61-a71c-470a-9047-e8d249c472fe,user-93,88
7c94f1a1-c15f-42b0-a313-7e68f260d7f5,9a61f980-defd-4bf9-93ab-8799ae7feaca,user-62,78
ab4d1a20-143f-4e69-8141-9ede53f5b514,5de9ebb0-f833-4130-96ff-41691932de3a,user-72,89
30529381-a5bf-469a-89f4-04c587835aae,cb30bd61-a71c-470a-9047-e8d249c472fe,user-31,78
e18a9a20-ad9f-4d33-aa0b-04eafc600a34,d8c0fc76-e4e1-48d9-be35-6ea5d02a0394,user-71,96
189c5487-02ed-491b-985a-584f06df1f74,5acb2f38-be93-404b-b04e-19f609b28279,user-89,93
4e6c4942-d28a-432e-a3fc-4a20b98190f7,5acb2f38-be93-404b-b04e-19f609b28279,user-32,80
