my_name,my_type,method,sheet,xlsx_row,their_name,email,founding_date,member_count,prodi,rumpun,kampus,has_medsos
Himpunan Mahasiswa Informatika ITB,Himpunan,abbr:hmif,HMPS ITB,42,Himpunan Mahasiswa Informatika Institut Teknologi Bandung,hmif-de@std.stei.itb.ac.id,1982-10-11,844,"Teknik Informatika
2. Sistem dan Teknologi Informasi",,Ganesha,yes
Himpunan Mahasiswa Teknik Perminyakan ITB,Himpunan,abbr:hmtm/patra,HMPS ITB,30,Himpunan Mahasiswa Teknik Perminyakan “PATRA” Institut Teknologi Bandung,patra_itb@km.itb.ac.id,1963-12-24,292,Teknik Perminyakan,,Ganesha,yes
Himpunan Mahasiswa Elektroteknik ITB,Himpunan,abbr:hme,HMPS ITB,43,Himpunan Mahasiswa Elektroteknik,hme_itb@km.itb.ac.id,1949-12-05,571,Teknik Elektro,,Ganesha,yes
Himpunan Mahasiswa Fisika Teknik ITB,Himpunan,abbr:hmft,HMPS ITB,16,Himpunan Mahasiswa Fisika Teknik Institut Teknologi Bandung,hmftitb@km.itb.ac.id,1953-12-17,283,Teknik Fisika,,Ganesha,yes
Ikatan Mahasiswa Geodesi ITB,Himpunan,NO MATCH,,,,,,,,,,
Himpunan Mahasiswa Matematika ITB,Himpunan,abbr:himatika,HMPS ITB,8,Himpunan Mahasiswa Matematika dan Aktuaria Institut Teknologi Bandung,bp@himatika.itb.ac.id,1960-11-23,456,"Matematika
2. Aktuaria",,Ganesha,yes
Ikatan Mahasiswa Arsitektur Gunadharma ITB,Himpunan,abbr:ima,HMPS ITB,34,Ikatan Mahasiswa Arsitektur Gunadharma,imag_itb@km.itb.ac.id / imagunadharma@gmail.com / merangkaibentang.imag@gmail.com,1951-11-15,287,Arsitektur,,Ganesha,yes
Himpunan Mahasiswa Kimia 'Amisca' ITB,Himpunan,abbr:hmk/amisca,HMPS ITB,9,Himpunan Mahasiswa Kimia 'AMISCA' Institut Teknologi Bandung,amisca_itb@km.itb.ac.id,1956-02-10,342,Kimia,,Ganesha,yes
Keluarga Mahasiswa Teknik Industri ITB,Himpunan,abbr:mti,HMPS ITB,15,Keluarga Mahasiswa Teknik Industri Institut Teknologi Bandung,bpmtiitb@gmail.com,1976-02-24,480,"Teknik Industri
2. Manajemen Rekayasa",,Ganesha,yes
Himpunan Mahasiswa Oseanografi ITB,Himpunan,abbr:hmo/triton,HMPS ITB,4,"Himpunan Mahasiswa Oseanografi ""TRITON"" Institut Teknologi Bandung",triton_itb@km.itb.ac.id,2008-09-19,213,Oseanografi,,Ganesha,yes
Himpunan Mahasiswa Teknik Perencanaan Wilayah dan Kota Pangripta Loka ITB,Himpunan,abbr:hmp,HMPS ITB,35,Himpunan Mahasiswa Perencanaan Wilayah dan Kota 'Pangripta Loka' Institut Teknologi Bandung,hmp_itb@km.itb.ac.id,2004-12-04,258,Perencanaan Wilayah dan Kota,,Ganesha,yes
Keluarga Mahasiswa Teknik Penerbangan ITB,Himpunan,abbr:kmpn,HMPS ITB,21,Keluarga Mahasiswa Teknik Penerbangan,,1997-08-06,256,Teknik Dirgantara,,Ganesha,yes
Himpunan Mahasiswa Teknik Lingkungan ITB,Himpunan,abbr:hmtl,HMPS ITB,23,Himpunan Mahasiswa Teknik Lingkungan Institut Teknologi Bandung,bestarihmtlitb@gmail.com,1962-11-10,335,Teknik Lingkungan,,Ganesha,yes
Himpunan Mahasiswa Astronomi ITB,Himpunan,abbr:himastron,HMPS ITB,7,Himpunan Mahasiswa Astronomi Institut Teknologi Bandung,himastron_itb@km.itb.ac.id,2004-12-04,168,Astronomi,,Ganesha,yes
Himpunan Mahasiswa Mikrobiologi 'Archaea' ITB,Himpunan,abbr:himamikro/archaea,HMPS ITB,39,Himpunan Mahasiswa Mikrobiologi “Archaea” Institut Teknologi Bandung,archaea_itb@km.itb.ac.id,2013-03-27,136,Mikrobiologi,,Ganesha,yes
Ikatan Mahasiswa Metalurgi ITB,Himpunan,abbr:immg,HMPS ITB,29,Ikatan Mahasiswa Metalurgi Institut Teknologi Bandung,immg_itb@km.itb.ac.id,2007-10-05,257,Teknik Metalurgi,,Ganesha,yes
Himpunan Mahasiswa Sumber Daya Air ITB,Himpunan,abbr:himasda,HMPS ITB,27,Himpunan Mahasiswa Sumber Daya Air Institut Teknologi Bandung,himasda_itb@km.itb.ac.id,2015-03-23,120,Teknik dan Pengelolaan Sumber Daya Air,,Jatinangor,yes
Himpunan Mahasiswa Mesin ITB,Himpunan,NO MATCH,,,,,,,,,,
Ikatan Pemuda Pemudi Desain Grafis ITB,Himpunan,abbr:ippdig,HMPS ITB,11,Ikatan Pemuda Pemudi Desain Grafis Institut Teknologi Bandung,ippdig_itb@km.itb.ac.id,1982-09-23,,Desain Komunikasi Visual,,Ganesha,yes
Keluarga Mahasiswa Infrastruktur Lingkungan ITB,Himpunan,abbr:kmil,HMPS ITB,26,Keluarga Mahasiswa Infrastruktur Lingkungan,kmil_itb@km.itb.ac.id/kmil.itb@gmail.com,2015-02-09,177,Rekayasa Infrastruktur Lingkungan,,Jatinangor,yes
Himpunan Mahasiswa Meteorologi ITB,Himpunan,abbr:hmme,HMPS ITB,3,"Himpunan Mahasiswa Meteorologi ""Atmosphaira"" Institut Teknologi Bandung",atmosphaira_itb@km.itb.ac.id,2008-09-19,189,Meteorologi,,Ganesha,yes
Himpunan Mahasiswa Biologi ITB,Himpunan,abbr:himabio,HMPS ITB,38,"Himpunan Mahasiswa Biologi ""Nymphaea"" Institut Teknologi Bandung",nymphaea_itb@km.itb.ac.id,1951-03-01,281,Biologi,,Ganesha,yes
Himpunan Mahasiswa Fisika ITB,Himpunan,abbr:himafi,HMPS ITB,10,Himpunan Mahasiswa Fisika Institut Teknologi Bandung,himafi_itb@km.itb.ac.id,1967-05-06,321,Fisika,,Ganesha,yes
Industrial Design Student Society ITB,Himpunan,abbr:inddes,HMPS ITB,12,Himpunan Mahasiswa Desain Produk “INDDES” Institut Teknologi Bandung,hmdpinddesitb@gmail.com,1978-02-14,190,Desain Produk,,Ganesha,yes
Himpunan Mahasiswa Rekayasa Pertanian 'Agrapana' ITB,Himpunan,NO MATCH,,,,,,,,,,
